Date,Linear,ARIMA,Exponential,RandomForest,AutoARIMA
2/7/2024,145.0066235,139.2440541,136.9108405,138.8861724,142.3295292
3/7/2024,142.8832549,141.4126188,145.9412066,138.4518372,140.0422184
4/7/2024,144.6893738,136.1021607,145.2855833,137.9752576,139.4700051
5/7/2024,140.6294804,140.3033654,136.6754102,136.1504463,139.0305513
6/7/2024,140.5005355,135.4566302,145.6901039,135.1876933,138.8411503
7/7/2024,140.048832,139.7767161,145.0354652,134.8255027,138.7354087
8/7/2024,140.6798522,135.3087583,136.43998,135.1232498,138.6833687
