order_completed_at,unique_order_count,year,month,day,dayofweek_num,midmonth,payday,double_date
2023-04-26,61,2023,4,26,2,0,1,0
2023-04-27,51,2023,4,27,3,0,1,0
2023-04-28,46,2023,4,28,4,0,1,0
2023-04-29,32,2023,4,29,5,0,1,0
2023-04-30,58,2023,4,30,6,0,1,0
2023-05-01,57,2023,5,1,0,0,0,0
2023-05-02,61,2023,5,2,1,0,0,0
2023-05-03,55,2023,5,3,2,0,0,0
2023-05-04,85,2023,5,4,3,0,0,0
2023-05-05,298,2023,5,5,4,0,0,1
2023-05-06,47,2023,5,6,5,0,0,0
2023-05-07,52,2023,5,7,6,0,0,0
2023-05-08,63,2023,5,8,0,0,0,0
2023-05-09,54,2023,5,9,1,0,0,0
2023-05-10,46,2023,5,10,2,0,0,0
2023-05-11,43,2023,5,11,3,0,0,0
2023-05-12,41,2023,5,12,4,0,0,0
2023-05-13,50,2023,5,13,5,0,0,0
2023-05-14,33,2023,5,14,6,0,0,0
2023-05-15,63,2023,5,15,0,1,0,0
2023-05-16,52,2023,5,16,1,0,0,0
2023-05-17,60,2023,5,17,2,0,0,0
2023-05-18,74,2023,5,18,3,0,0,0
2023-05-19,80,2023,5,19,4,0,0,0
2023-05-20,80,2023,5,20,5,0,0,0
2023-05-21,64,2023,5,21,6,0,0,0
2023-05-22,84,2023,5,22,0,0,0,0
2023-05-23,90,2023,5,23,1,0,0,0
2023-05-24,97,2023,5,24,2,0,0,0
2023-05-25,84,2023,5,25,3,0,1,0
2023-05-26,107,2023,5,26,4,0,1,0
2023-05-27,80,2023,5,27,5,0,1,0
2023-05-28,105,2023,5,28,6,0,1,0
2023-05-29,93,2023,5,29,0,0,1,0
2023-05-30,103,2023,5,30,1,0,1,0
2023-05-31,113,2023,5,31,2,0,1,0
2023-06-01,51,2023,6,1,3,0,0,0
2023-06-02,38,2023,6,2,4,0,0,0
2023-06-03,34,2023,6,3,5,0,0,0
2023-06-04,38,2023,6,4,6,0,0,0
2023-06-05,65,2023,6,5,0,0,0,0
2023-06-06,163,2023,6,6,1,0,0,1
2023-06-07,84,2023,6,7,2,0,0,0
2023-06-08,112,2023,6,8,3,0,0,0
2023-06-09,54,2023,6,9,4,0,0,0
2023-06-10,52,2023,6,10,5,0,0,0
2023-06-11,58,2023,6,11,6,0,0,0
2023-06-12,64,2023,6,12,0,0,0,0
2023-06-13,76,2023,6,13,1,0,0,0
2023-06-14,61,2023,6,14,2,0,0,0
2023-06-15,78,2023,6,15,3,1,0,0
2023-06-16,78,2023,6,16,4,0,0,0
2023-06-17,67,2023,6,17,5,0,0,0
2023-06-18,53,2023,6,18,6,0,0,0
2023-06-19,72,2023,6,19,0,0,0,0
2023-06-20,47,2023,6,20,1,0,0,0
2023-06-21,53,2023,6,21,2,0,0,0
2023-06-22,72,2023,6,22,3,0,0,0
2023-06-23,46,2023,6,23,4,0,0,0
2023-06-24,49,2023,6,24,5,0,0,0
2023-06-25,55,2023,6,25,6,0,1,0
2023-06-26,71,2023,6,26,0,0,1,0
2023-06-27,63,2023,6,27,1,0,1,0
2023-06-28,32,2023,6,28,2,0,1,0
2023-06-29,57,2023,6,29,3,0,1,0
2023-06-30,64,2023,6,30,4,0,1,0
2023-07-01,50,2023,7,1,5,0,0,0
2023-07-02,59,2023,7,2,6,0,0,0
2023-07-03,62,2023,7,3,0,0,0,0
2023-07-04,59,2023,7,4,1,0,0,0
2023-07-05,71,2023,7,5,2,0,0,0
2023-07-06,108,2023,7,6,3,0,0,0
2023-07-07,238,2023,7,7,4,0,0,1
2023-07-08,150,2023,7,8,5,0,0,0
2023-07-09,126,2023,7,9,6,0,0,0
2023-07-10,69,2023,7,10,0,0,0,0
2023-07-11,73,2023,7,11,1,0,0,0
2023-07-12,70,2023,7,12,2,0,0,0
2023-07-13,74,2023,7,13,3,0,0,0
2023-07-14,79,2023,7,14,4,0,0,0
2023-07-15,78,2023,7,15,5,1,0,0
2023-07-16,75,2023,7,16,6,0,0,0
2023-07-17,91,2023,7,17,0,0,0,0
2023-07-18,90,2023,7,18,1,0,0,0
2023-07-19,86,2023,7,19,2,0,0,0
2023-07-20,86,2023,7,20,3,0,0,0
2023-07-21,67,2023,7,21,4,0,0,0
2023-07-22,86,2023,7,22,5,0,0,0
2023-07-23,76,2023,7,23,6,0,0,0
2023-07-24,70,2023,7,24,0,0,0,0
2023-07-25,50,2023,7,25,1,0,1,0
2023-07-26,78,2023,7,26,2,0,1,0
2023-07-27,58,2023,7,27,3,0,1,0
2023-07-28,60,2023,7,28,4,0,1,0
2023-07-29,48,2023,7,29,5,0,1,0
2023-07-30,62,2023,7,30,6,0,1,0
2023-07-31,77,2023,7,31,0,0,1,0
2023-08-01,72,2023,8,1,1,0,0,0
2023-08-02,76,2023,8,2,2,0,0,0
2023-08-03,80,2023,8,3,3,0,0,0
2023-08-04,80,2023,8,4,4,0,0,0
2023-08-05,64,2023,8,5,5,0,0,0
2023-08-06,84,2023,8,6,6,0,0,0
2023-08-07,64,2023,8,7,0,0,0,0
2023-08-08,266,2023,8,8,1,0,0,1
2023-08-09,356,2023,8,9,2,0,0,0
2023-08-10,508,2023,8,10,3,0,0,0
2023-08-11,81,2023,8,11,4,0,0,0
2023-08-12,83,2023,8,12,5,0,0,0
2023-08-13,78,2023,8,13,6,0,0,0
2023-08-14,86,2023,8,14,0,0,0,0
2023-08-15,84,2023,8,15,1,1,0,0
2023-08-16,89,2023,8,16,2,0,0,0
2023-08-17,72,2023,8,17,3,0,0,0
2023-08-18,83,2023,8,18,4,0,0,0
2023-08-19,82,2023,8,19,5,0,0,0
2023-08-20,73,2023,8,20,6,0,0,0
2023-08-21,100,2023,8,21,0,0,0,0
2023-08-22,85,2023,8,22,1,0,0,0
2023-08-23,86,2023,8,23,2,0,0,0
2023-08-24,82,2023,8,24,3,0,0,0
2023-08-25,91,2023,8,25,4,0,1,0
2023-08-26,128,2023,8,26,5,0,1,0
2023-08-27,142,2023,8,27,6,0,1,0
2023-08-28,176,2023,8,28,0,0,1,0
