Date,Total Order
2024-06-25,138.19861063498183
2024-06-26,138.21433323592402
2024-06-27,138.2294314606201
2024-06-28,138.24393010431214
2024-06-29,138.2578529775731
2024-06-30,138.27122294541
2024-07-01,138.28406196481416
