order_completed_at,unique_order_count
2023-01-01,15
2023-01-02,32
2023-01-03,89
2023-01-04,73
2023-01-05,67
2023-01-06,75
2023-01-07,52
2023-01-08,49
2023-01-09,41
2023-01-10,77
2023-01-11,71
2023-01-12,68
2023-01-13,55
2023-01-14,53
2023-01-15,63
2023-01-16,239
2023-01-17,298
2023-01-18,244
2023-01-19,142
2023-01-20,28
2023-01-21,10
2023-01-22,12
2023-01-23,30
2023-01-24,42
2023-01-25,64
2023-01-26,37
2023-01-27,39
2023-01-28,66
2023-01-29,37
2023-01-30,41
2023-01-31,84
2023-02-01,49
2023-02-02,609
2023-02-03,41
2023-02-04,44
2023-02-05,42
2023-02-06,69
2023-02-07,63
2023-02-08,38
2023-02-09,53
2023-02-10,38
2023-02-11,46
2023-02-12,142
2023-02-13,101
2023-02-14,126
2023-02-15,43
2023-02-16,89
2023-02-17,51
2023-02-18,31
2023-02-19,20
2023-02-20,40
2023-02-21,69
2023-02-22,115
2023-02-23,105
2023-02-24,56
2023-02-25,132
2023-02-26,117
2023-02-27,113
2023-02-28,143
2023-03-01,56
2023-03-02,47
2023-03-03,506
2023-03-04,49
2023-03-05,41
2023-03-06,88
2023-03-07,84
2023-03-08,61
2023-03-09,71
2023-03-10,69
2023-03-11,62
2023-03-12,43
2023-03-13,61
2023-03-14,61
2023-03-15,115
2023-03-16,87
2023-03-17,99
2023-03-18,79
2023-03-19,99
2023-03-20,137
2023-03-21,121
2023-03-22,108
2023-03-23,108
2023-03-24,86
2023-03-25,64
2023-03-26,74
2023-03-27,81
2023-03-28,91
2023-03-29,98
2023-03-30,94
2023-03-31,97
2023-04-01,50
2023-04-02,42
2023-04-03,83
2023-04-04,268
2023-04-05,67
2023-04-06,69
2023-04-07,52
2023-04-08,82
2023-04-09,64
2023-04-10,65
2023-04-11,36
2023-04-12,12
2023-04-13,12
2023-04-14,11
2023-04-15,16
2023-04-16,16
2023-04-17,57
2023-04-18,96
2023-04-19,62
2023-04-20,62
2023-04-21,43
2023-04-22,54
2023-04-23,42
2023-04-24,49
2023-04-25,54
2023-04-26,61
2023-04-27,51
2023-04-28,46
2023-04-29,32
2023-04-30,58
2023-05-01,57
2023-05-02,61
2023-05-03,55
2023-05-04,85
2023-05-05,298
2023-05-06,47
2023-05-07,52
2023-05-08,63
2023-05-09,54
2023-05-10,46
2023-05-11,43
2023-05-12,41
2023-05-13,50
2023-05-14,33
2023-05-15,63
2023-05-16,52
2023-05-17,60
2023-05-18,74
2023-05-19,80
2023-05-20,80
2023-05-21,64
2023-05-22,84
2023-05-23,90
2023-05-24,97
2023-05-25,84
2023-05-26,107
2023-05-27,80
2023-05-28,105
2023-05-29,93
2023-05-30,103
2023-05-31,113
2023-06-01,51
