order_completed_at,unique_order_count,total_quantity
2023-09-07,96,1032
2023-09-08,452,6230
2023-09-09,599,8259
2023-09-10,461,6394
2023-09-11,124,1248
2023-09-12,116,2045
2023-09-13,93,747
2023-09-14,128,1241
2023-09-15,123,1444
2023-09-16,101,1068
2023-09-17,111,1050
2023-09-18,112,1343
2023-09-19,119,1074
2023-09-20,116,1090
2023-09-21,127,1205
2023-09-22,112,1021
2023-09-23,85,1101
2023-09-24,109,1801
2023-09-25,245,2633
2023-09-26,158,1614
2023-09-27,124,1348
2023-09-28,128,1284
2023-09-29,135,1430
2023-09-30,142,1867
2023-10-01,117,1220
2023-10-02,136,1595
2023-10-03,112,1054
2023-10-04,120,1431
2023-10-05,96,1174
2023-10-06,133,1374
2023-10-07,101,1235
2023-10-08,93,1017
2023-10-09,128,3750
2023-10-10,841,16653
2023-10-11,438,3762
2023-10-12,325,4250
2023-10-13,570,7911
2023-10-14,130,2698
2023-10-15,186,1750
2023-10-16,158,1721
2023-10-17,153,1408
2023-10-18,172,1470
2023-10-19,182,4009
2023-10-20,212,1910
2023-10-21,115,1030
2023-10-22,118,1343
2023-10-23,117,1084
2023-10-24,125,1218
2023-10-25,293,3375
2023-10-26,179,1683
2023-10-27,130,1796
2023-10-28,125,1883
2023-10-29,123,1270
2023-10-30,153,2251
2023-10-31,145,1828
2023-11-01,143,1569
2023-11-02,146,1569
2023-11-03,136,1487
2023-11-04,132,1463
2023-11-05,159,1799
2023-11-06,128,1700
2023-11-07,133,1376
2023-11-08,113,1567
2023-11-09,179,2176
2023-11-10,464,4689
2023-11-11,1005,8421
2023-11-12,485,4701
2023-11-13,465,3945
2023-11-14,225,2058
2023-11-15,212,1644
2023-11-16,236,2132
2023-11-17,227,1904
2023-11-18,161,2551
2023-11-19,142,1302
2023-11-20,215,2156
2023-11-21,200,1808
2023-11-22,139,1144
2023-11-23,185,1581
2023-11-24,182,1869
2023-11-25,228,2157
2023-11-26,168,1764
2023-11-27,173,1605
2023-11-28,211,1883
2023-11-29,164,1311
2023-11-30,195,1925
2023-12-01,181,3804
2023-12-02,186,4617
2023-12-03,166,3758
2023-12-04,203,4999
2023-12-05,215,4655
2023-12-06,209,4163
2023-12-07,182,4226
2023-12-08,172,3447
2023-12-09,185,4517
2023-12-10,193,4930
2023-12-11,197,4301
2023-12-12,642,6456
2023-12-13,307,2839
2023-12-14,301,2572
2023-12-15,316,6762
2023-12-16,236,4684
2023-12-17,239,4586
2023-12-18,263,4711
2023-12-19,246,4825
2023-12-20,280,5559
2023-12-21,292,5874
2023-12-22,284,5283
2023-12-23,306,5769
2023-12-24,325,5886
2023-12-25,514,9892
2023-12-26,404,5436
2023-12-27,395,4355
2023-12-28,296,1787
2023-12-29,169,878
2023-12-30,100,481
2023-12-31,55,307
2024-01-01,196,1226
2024-01-02,307,2440
2024-01-03,350,2469
2024-01-04,361,2740
2024-01-05,277,4911
2024-01-06,281,6300
2024-01-07,286,6186
2024-01-08,284,5074
2024-01-09,249,4862
2024-01-10,350,7156
2024-01-11,310,6163
2024-01-12,312,6461
2024-01-13,263,4676
2024-01-14,242,4873
2024-01-15,440,8266
2024-01-16,303,5708
2024-01-17,308,5675
2024-01-18,311,5818
2024-01-19,285,5860
2024-01-20,290,5554
2024-01-21,308,5875
2024-01-22,288,5391
2024-01-23,313,5969
2024-01-24,291,5072
2024-01-25,446,9235
2024-01-26,292,5317
2024-01-27,299,5240
2024-01-28,293,5664
2024-01-29,341,6898
2024-01-30,338,6887
2024-01-31,455,8352
2024-02-01,511,8390
2024-02-02,658,8048
2024-02-03,515,7952
2024-02-04,684,11184
2024-02-05,915,19990
2024-02-06,1156,21099
2024-02-07,466,3047
2024-02-08,170,849
2024-02-09,171,850
2024-02-10,207,1146
2024-02-11,245,1308
2024-02-12,320,4455
2024-02-13,341,5391
2024-02-14,336,6539
2024-02-15,420,7785
2024-02-16,306,5918
2024-02-17,304,4971
2024-02-18,292,5482
2024-02-19,333,6535
2024-02-20,317,6161
2024-02-21,334,6614
2024-02-22,452,7074
2024-02-23,384,7125
2024-02-24,262,5702
2024-02-25,321,5846
2024-02-26,288,5644
2024-02-27,276,5706
2024-02-28,254,5343
2024-02-29,171,4306
2024-03-01,174,4943
2024-03-02,183,4171
2024-03-03,475,8703
2024-03-04,183,1166
2024-03-05,151,1306
2024-03-06,206,4068
2024-03-07,210,5353
2024-03-08,191,2828
2024-03-09,153,1228
2024-03-10,171,1161
2024-03-11,189,1465
2024-03-12,196,1564
2024-03-13,162,1339
2024-03-14,160,1292
2024-03-15,185,1861
2024-03-16,150,1123
2024-03-17,136,1065
2024-03-18,148,1150
2024-03-19,175,1453
2024-03-20,173,1489
2024-03-21,161,1256
2024-03-22,113,895
2024-03-23,130,1121
2024-03-24,115,912
2024-03-25,163,1402
2024-03-26,147,1299
2024-03-27,157,1581
2024-03-28,150,1297
2024-03-29,142,1617
2024-03-30,141,1430
2024-03-31,128,1198
2024-04-01,139,1250
2024-04-02,163,1349
2024-04-03,143,1133
2024-04-04,222,2148
2024-04-05,116,1055
2024-04-06,125,1076
2024-04-07,140,1118
2024-04-08,136,1065
2024-04-09,114,789
2024-04-10,168,1367
2024-04-11,144,1161
2024-04-12,80,695
2024-04-13,27,137
2024-04-14,24,170
2024-04-15,49,381
2024-04-16,84,724
2024-04-17,138,1333
2024-04-18,145,1364
2024-04-19,143,1258
2024-04-20,119,969
2024-04-21,118,986
2024-04-22,130,1246
2024-04-23,129,1129
2024-04-24,148,1218
2024-04-25,175,1500
2024-04-26,144,1290
2024-04-27,115,1080
2024-04-28,137,1170
2024-04-29,126,1064
2024-04-30,137,1172
2024-05-01,127,1081
2024-05-02,183,1370
2024-05-03,142,1464
2024-05-04,139,1202
2024-05-05,187,1655
2024-05-06,133,1268
2024-05-07,155,1228
2024-05-08,154,1166
2024-05-09,145,1220
2024-05-10,123,1318
2024-05-11,136,1197
2024-05-12,114,972
2024-05-13,129,1163
2024-05-14,128,1203
2024-05-15,116,769
2024-05-16,112,863
2024-05-17,126,999
2024-05-18,130,952
2024-05-19,124,1101
2024-05-20,157,1435
2024-05-21,113,856
2024-05-22,131,1062
2024-05-23,132,1202
2024-05-24,116,1049
2024-05-25,131,1095
2024-05-26,118,1145
2024-05-27,98,830
2024-05-28,160,1330
2024-05-29,137,1285
2024-05-30,134,1196
2024-05-31,157,1626
2024-06-01,142,1311
2024-06-02,158,1511
2024-06-03,124,1134
2024-06-04,136,990
2024-06-05,118,1006
2024-06-06,150,1586
2024-06-07,137,1188
2024-06-08,124,1131
2024-06-09,115,945
2024-06-10,113,1079
2024-06-11,132,1418
2024-06-12,50,512
